Processing record 1 | arroyo 
Processing record 101 | airai 
Processing record 102 | westport 
Processing record 103 | sedelnikovo 
 Not found: sedelnikovo Skipping 
Processing record 104 | richards bay 
Processing record 105 | ushuaia 
Processing record 106 | calvinia 
Processing record 107 | saldanha 
Processing record 108 | puerto ayora 
Processing record 109 | gat 
Processing record 110 | east london 
Processing record 111 | gazanjyk 
Processing record 112 | mengcheng 
Processing record 113 | spassk 
Processing record 114 | uetze 
Processing record 115 | new norfolk 
Processing record 116 | vaitupu 
 Not found: vaitupu Skipping 
Processing record 117 | mataura 
Processing record 118 | ribeira grande 
Processing record 119 | rikitea 
Processing record 120 | qaanaaq 
Processing record 121 | haines junction 
Processing record 122 | kodiak 
Processing record 123 | rikitea 
Processing record 124 | vaini 
Processing record 125 | atuona 
Processing record 126 | salinopolis 
Processing record 127 | tuktoyaktuk 
Processing record 128 | bacolod 
Processing record 129 | broken hill 
Processing record 130 | kushima 
Processing record 131 | eyl 
Processing record 132 | hofn 
Processing record 133 | porangatu 
Processing record 134 | rikitea 
Processing record 135 | camacha 
Processing record 136 | assare 
Processing record 137 | saint-philippe 
Processing record 138 | mataura 
Processing record 139 | jamestown 
Processing record 140 | butaritari 
Processing record 141 | adre 
Processing record 142 | georgetown 
Processing record 143 | gurun 
Processing record 144 | tumannyy 
 Not found: tumannyy Skipping 
Processing record 145 | hermanus 
Processing record 146 | victoria 
Processing record 147 | gweta 
Processing record 148 | klaksvik 
Processing record 149 | rikitea 
Processing record 150 | kodiak 
Processing record 151 | new norfolk 
Processing record 152 | barcelos 
Processing record 153 | cockburn town 
Processing record 154 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 155 | kavaratti 
Processing record 156 | chuy 
Processing record 157 | ushuaia 
Processing record 158 | fuling 
Processing record 159 | mahebourg 
Processing record 160 | trinidad 
Processing record 161 | umm lajj 
Processing record 162 | hilo 
Processing record 163 | santa rosa 
Processing record 164 | albany 
Processing record 165 | vaini 
Processing record 166 | rio gallegos 
Processing record 167 | saint-pierre 
Processing record 168 | ushuaia 
Processing record 169 | vilhena 
Processing record 170 | husavik 
Processing record 171 | abu dhabi 
Processing record 172 | busselton 
Processing record 173 | atuona 
Processing record 174 | ilulissat 
Processing record 175 | arrecife 
Processing record 176 | bethel 
Processing record 177 | tuktoyaktuk 
Processing record 178 | thomasville 
Processing record 179 | srednekolymsk 
Processing record 180 | saskylakh 
Processing record 181 | porto novo 
Processing record 182 | codrington 
Processing record 183 | krasnovishersk 
Processing record 184 | busselton 
Processing record 185 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 186 | tubuala 
Processing record 187 | vaini 
Processing record 188 | port elizabeth 
Processing record 189 | jiayuguan 
Processing record 190 | tuktoyaktuk 
Processing record 191 | talnakh 
Processing record 192 | sentyabrskiy 
 Not found: sentyabrskiy Skipping 
Processing record 193 | kristiinankaupunki 
Processing record 194 | punta arenas 
Processing record 195 | lebu 
Processing record 196 | pirgos 
Processing record 197 | roebourne 
Processing record 198 | yeppoon 
Processing record 199 | haibowan 
 Not found: haibowan Skipping 
Processing record 200 | pathein 
Processing record 201 | ostrovnoy 
Processing record 202 | yellowknife 
Processing record 203 | avarua 
Processing record 204 | yellowknife 
Processing record 205 | hilo 
Processing record 206 | atuona 
Processing record 207 | ushuaia 
Processing record 208 | tunceli 
Processing record 209 | saint-philippe 
Processing record 210 | rikitea 
Processing record 211 | punta arenas 
Processing record 212 | mataura 
Processing record 213 | tasiilaq 
Processing record 214 | yellowknife 
Processing record 215 | cape town 
Processing record 216 | kapaa 
Processing record 217 | port alfred 
Processing record 218 | sacramento 
Processing record 219 | sembe 
Processing record 220 | pisco 
Processing record 221 | bluff 
Processing record 222 | bilibino 
Processing record 223 | vaini 
Processing record 224 | safford 
Processing record 225 | pevek 
Processing record 226 | bridlington 
Processing record 227 | rikitea 
Processing record 228 | nikolskoye 
Processing record 229 | mullingar 
Processing record 230 | luderitz 
Processing record 231 | rikitea 
Processing record 232 | butaritari 
Processing record 233 | hobart 
Processing record 234 | mount isa 
Processing record 235 | cape town 
Processing record 236 | hermanus 
Processing record 237 | lagos 
Processing record 238 | nome 
Processing record 239 | ushuaia 
Processing record 240 | cairns 
Processing record 241 | kodiak 
Processing record 242 | calama 
Processing record 243 | punta arenas 
Processing record 244 | kaitangata 
Processing record 245 | butaritari 
Processing record 246 | kimbe 
Processing record 247 | tamworth 
Processing record 248 | ketchikan 
Processing record 249 | bethel 
Processing record 250 | cape town 
Processing record 251 | hasaki 
Processing record 252 | kapaa 
Processing record 253 | new norfolk 
Processing record 254 | carnarvon 
Processing record 255 | barrow 
Processing record 256 | mount gambier 
Processing record 257 | jinchengjiang 
 Not found: jinchengjiang Skipping 
Processing record 258 | ribeira grande 
Processing record 259 | aleksandrov gay 
Processing record 260 | hasaki 
Processing record 261 | abbeville 
Processing record 262 | savannah bight 
Processing record 263 | north bend 
Processing record 264 | sola 
Processing record 265 | albany 
Processing record 266 | rikitea 
Processing record 267 | susurluk 
Processing record 268 | rikitea 
Processing record 269 | tasiilaq 
Processing record 270 | albany 
Processing record 271 | new norfolk 
Processing record 272 | busselton 
Processing record 273 | castro 
Processing record 274 | puerto ayora 
Processing record 275 | smithers 
Processing record 276 | mys shmidta 
 Not found: mys shmidta Skipping 
Processing record 277 | hovd 
Processing record 278 | tasiilaq 
Processing record 279 | tuktoyaktuk 
Processing record 280 | ushuaia 
Processing record 281 | ilulissat 
Processing record 282 | busselton 
Processing record 283 | olafsvik 
Processing record 284 | punta arenas 
Processing record 285 | mareeba 
Processing record 286 | teknaf 
Processing record 287 | ushuaia 
Processing record 288 | sentyabrskiy 
 Not found: sentyabrskiy Skipping 
Processing record 289 | punta arenas 
Processing record 290 | port alfred 
Processing record 291 | gat 
Processing record 292 | busselton 
Processing record 293 | lompoc 
Processing record 294 | bredasdorp 
Processing record 295 | kloulklubed 
Processing record 296 | puerto ayora 
Processing record 297 | albany 
Processing record 298 | saleaula 
 Not found: saleaula Skipping 
Processing record 299 | qaqortoq 
Processing record 300 | pingliang 
Processing record 301 | adrar 
Processing record 302 | castro 
Processing record 303 | east london 
Processing record 304 | rabo de peixe 
Processing record 305 | ushuaia 
Processing record 306 | cape town 
Processing record 307 | buckeye 
Processing record 308 | vaitupu 
 Not found: vaitupu Skipping 
Processing record 309 | yingzhong 
 Not found: yingzhong Skipping 
Processing record 310 | atuona 
Processing record 311 | busselton 
Processing record 312 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 313 | butembo 
Processing record 314 | samalaeulu 
 Not found: samalaeulu Skipping 
Processing record 315 | gaziantep 
Processing record 316 | norman wells 
Processing record 317 | aswan 
Processing record 318 | ushuaia 
Processing record 319 | puerto ayora 
Processing record 320 | ushuaia 
Processing record 321 | new norfolk 
Processing record 322 | comodoro rivadavia 
Processing record 323 | bethel 
Processing record 324 | cape town 
Processing record 325 | tete 
Processing record 326 | kaitangata 
Processing record 327 | bluff 
Processing record 328 | mar del plata 
Processing record 329 | bambous virieux 
Processing record 330 | cape town 
Processing record 331 | kapaa 
Processing record 332 | port alfred 
Processing record 333 | halifax 
Processing record 334 | te anau 
Processing record 335 | bosaso 
Processing record 336 | port lincoln 
Processing record 337 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 338 | jamestown 
Processing record 339 | stettler 
Processing record 340 | codrington 
Processing record 341 | punta arenas 
Processing record 342 | carnarvon 
Processing record 343 | khatanga 
Processing record 344 | vaini 
Processing record 345 | cherskiy 
Processing record 346 | nanakuli 
Processing record 347 | pangnirtung 
Processing record 348 | souillac 
Processing record 349 | hilo 
Processing record 350 | chuy 
Processing record 351 | tiksi 
Processing record 352 | champerico 
Processing record 353 | hobart 
Processing record 354 | mataura 
Processing record 355 | vaini 
Processing record 356 | rikitea 
Processing record 357 | provideniya 
Processing record 358 | saint-philippe 
Processing record 359 | maghama 
 Not found: maghama Skipping 
Processing record 360 | atuona 
Processing record 361 | butaritari 
Processing record 362 | tasiilaq 
Processing record 363 | mataura 
Processing record 364 | arraial do cabo 
Processing record 365 | barrow 
Processing record 366 | belushya guba 
 Not found: belushya guba Skipping 
Processing record 367 | anchorage 
Processing record 368 | mataura 
Processing record 369 | jamestown 
Processing record 370 | chapleau 
Processing record 371 | kodiak 
Processing record 372 | tomatlan 
Processing record 373 | punta arenas 
Processing record 374 | faya 
Processing record 375 | tuktoyaktuk 
Processing record 376 | arraial do cabo 
Processing record 377 | gua musang 
Processing record 378 | rikitea 
Processing record 379 | moron 
Processing record 380 | ponta do sol 
Processing record 381 | bengkulu 
Processing record 382 | karamay 
 Not found: karamay Skipping 
Processing record 383 | provideniya 
Processing record 384 | sao filipe 
Processing record 385 | punta arenas 
Processing record 386 | tasiilaq 
Processing record 387 | saint george 
Processing record 388 | hobart 
Processing record 389 | fairbanks 
Processing record 390 | ribeira grande 
Processing record 391 | hermanus 
Processing record 392 | sao joao da barra 
Processing record 393 | tuktoyaktuk 
Processing record 394 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 395 | punta arenas 
Processing record 396 | jamestown 
Processing record 397 | leningradskiy 
Processing record 398 | riyadh 
Processing record 399 | tucurui 
Processing record 400 | busselton 
Processing record 401 | kruisfontein 
Processing record 402 | carnarvon 
Processing record 403 | busselton 
Processing record 404 | albany 
Processing record 405 | qaanaaq 
Processing record 406 | talnakh 
Processing record 407 | longyearbyen 
Processing record 408 | leningradskiy 
Processing record 409 | new norfolk 
Processing record 410 | cape town 
Processing record 411 | aksarayskiy 
Processing record 412 | naron 
Processing record 413 | lakatoro 
Processing record 414 | chuy 
Processing record 415 | rikitea 
Processing record 416 | carnarvon 
Processing record 417 | dikson 
Processing record 418 | ushuaia 
Processing record 419 | lorengau 
Processing record 420 | kruisfontein 
Processing record 421 | mancio lima 
Processing record 422 | saint george 
Processing record 423 | constitucion 
Processing record 424 | cape town 
Processing record 425 | nanortalik 
Processing record 426 | novobirilyussy 
Processing record 427 | mahebourg 
Processing record 428 | ushuaia 
Processing record 429 | trinidad 
Processing record 430 | nikolskoye 
Processing record 431 | hami 
Processing record 432 | guzelyurt 
Processing record 433 | mataura 
Processing record 434 | hilo 
Processing record 435 | mahebourg 
Processing record 436 | rena 
Processing record 437 | tasiilaq 
Processing record 438 | faanui 
Processing record 439 | hithadhoo 
Processing record 440 | yoshikawa 
Processing record 441 | cortazar 
Processing record 442 | punta arenas 
Processing record 443 | port hardy 
Processing record 444 | leningradskiy 
Processing record 445 | nanortalik 
Processing record 446 | saint george 
Processing record 447 | bathsheba 
Processing record 448 | beloha 
Processing record 449 | ushuaia 
Processing record 450 | bengkulu 
Processing record 451 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 452 | ahipara 
Processing record 453 | lebu 
Processing record 454 | bluff 
Processing record 455 | shieli 
Processing record 456 | hermanus 
Processing record 457 | ornskoldsvik 
Processing record 458 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 459 | hobart 
Processing record 460 | alice springs 
Processing record 461 | sentyabrskiy 
 Not found: sentyabrskiy Skipping 
Processing record 462 | hilo 
Processing record 463 | thompson 
Processing record 464 | jamestown 
Processing record 465 | bonthe 
Processing record 466 | vaitupu 
 Not found: vaitupu Skipping 
Processing record 467 | jamestown 
Processing record 468 | new norfolk 
Processing record 469 | rikitea 
Processing record 470 | longyearbyen 
Processing record 471 | castro 
Processing record 472 | atuona 
Processing record 473 | ribeira grande 
Processing record 474 | palabuhanratu 
 Not found: palabuhanratu Skipping 
Processing record 475 | grindavik 
Processing record 476 | east london 
Processing record 477 | padang 
Processing record 478 | esperance 
Processing record 479 | horodok 
Processing record 480 | shingu 
Processing record 481 | alice springs 
Processing record 482 | ushuaia 
Processing record 483 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 484 | ushuaia 
Processing record 485 | pushkinskiye gory 
Processing record 486 | punta arenas 
Processing record 487 | puerto ayora 
Processing record 488 | ozgon 
 Not found: ozgon Skipping 
Processing record 489 | saint anthony 
Processing record 490 | vaini 
Processing record 491 | atuona 
Processing record 492 | shieli 
Processing record 493 | busselton 
Processing record 494 | mandasa 
Processing record 495 | hilo 
Processing record 496 | skelleftea 
Processing record 497 | araouane 
Processing record 498 | milingimbi 
 Not found: milingimbi Skipping 
Processing record 499 | kichera 
Processing record 500 | palmer 
Processing record 501 | comodoro rivadavia 
Processing record 502 | tuatapere 
Processing record 503 | clinton 
Processing record 504 | hermanus 
Processing record 505 | ternate 
Processing record 506 | thompson 
Processing record 507 | albany 
Processing record 508 | vaini 
Processing record 509 | bubaque 
Processing record 510 | mackenzie 
Processing record 511 | zemio 
Processing record 512 | phangnga 
Processing record 513 | pevek 
Processing record 514 | torrevieja 
Processing record 515 | chimoio 
Processing record 516 | port elizabeth 
Processing record 517 | rikitea 
Processing record 518 | ouallam 
Processing record 519 | fairbanks 
Processing record 520 | namibe 
Processing record 521 | karachi 
Processing record 522 | vangaindrano 
Processing record 523 | kysyl-syr 
Processing record 524 | mar del plata 
Processing record 525 | rikitea 
Processing record 526 | punta arenas 
Processing record 527 | chico 
Processing record 528 | rikitea 
Processing record 529 | lebu 
Processing record 530 | georgetown 
Processing record 531 | amderma 
 Not found: amderma Skipping 
Processing record 532 | saint-philippe 
Processing record 533 | victoria 
Processing record 534 | mataura 
Processing record 535 | karratha 
Processing record 536 | busselton 
Processing record 537 | anadyr 
Processing record 538 | arlit 
Processing record 539 | chokurdakh 
Processing record 540 | mullaitivu 
 Not found: mullaitivu Skipping 
Processing record 541 | victoria 
Processing record 542 | hobart 
Processing record 543 | rikitea 
Processing record 544 | alyangula 
Processing record 545 | chissamba 
Processing record 546 | ponta do sol 
Processing record 547 | pakxan 
Processing record 548 | omboue 
Processing record 549 | ushuaia 
Processing record 550 | hobart 
Processing record 551 | ambilobe 
Processing record 552 | ushuaia 
Processing record 553 | bredasdorp 
Processing record 554 | lorengau 
Processing record 555 | makakilo city 
Processing record 556 | hobart 
Processing record 557 | mapiripan 
Processing record 558 | jamestown 
Processing record 559 | tambun 
Processing record 560 | cape town 
Processing record 561 | amderma 
 Not found: amderma Skipping 
Processing record 562 | cabo san lucas 
Processing record 563 | rikitea 
Processing record 564 | hobart 
Processing record 565 | busselton 
Processing record 566 | constitucion 
Processing record 567 | thompson 
Processing record 568 | minas 
Processing record 569 | butaritari 
Processing record 570 | rikitea 
Processing record 571 | ahipara 
Processing record 572 | licata 
Processing record 573 | inhambane 
Processing record 574 | bira 
Processing record 575 | maarianhamina 
Processing record 576 | puerto ayora 
Processing record 577 | sao jose de ribamar 
Processing record 578 | qaanaaq 
Processing record 579 | sorvag 
 Not found: sorvag Skipping 
Processing record 580 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 581 | rocha 
Processing record 582 | castro 
Processing record 583 | kuche 
 Not found: kuche Skipping 
Processing record 584 | ushuaia 
Processing record 585 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 586 | riyadh 
Processing record 587 | cidreira 
Processing record 588 | rikitea 
Processing record 589 | shreveport 
Processing record 590 | mahebourg 
Processing record 591 | lapi 
Processing record 592 | ijaki 
 Not found: ijaki Skipping 
Processing record 593 | busselton 
Processing record 594 | sitka 
Processing record 595 | barrow 
Processing record 596 | upernavik 
Processing record 597 | matara 
Processing record 598 | husavik 
Processing record 599 | bela vista de goias 
Processing record 600 | millinocket 
Processing record 601 | rikitea 
Processing record 602 | bredasdorp 
Processing record 603 | richards bay 
Processing record 604 | bluff 
Processing record 605 | srikakulam 
Processing record 606 | sola 
Processing record 607 | punta arenas 
Processing record 608 | kedrovyy 
Processing record 609 | tumpat 
Processing record 610 | yulara 
Processing record 611 | ilulissat 
Processing record 612 | tuktoyaktuk 
Processing record 613 | rikitea 
Processing record 614 | mahebourg 
Processing record 615 | cape town 
Processing record 616 | hithadhoo 
Processing record 617 | puerto ayora 
Processing record 618 | punta arenas 
Processing record 619 | lucea 
Processing record 620 | anadyr 
Processing record 621 | zhigansk 
Processing record 622 | busselton 
Processing record 623 | guerrero negro 
Processing record 624 | hatillo 
Processing record 625 | cadillac 
Processing record 626 | yoichi 
Processing record 627 | hasaki 
Processing record 628 | bilibino 
Processing record 629 | zheleznodorozhnyy 
Processing record 630 | chuy 
Processing record 631 | ushuaia 
Processing record 632 | rikitea 
Processing record 633 | hobart 
Processing record 634 | castro 
Processing record 635 | khokhryaki 
Processing record 636 | tasiilaq 
Processing record 637 | mar del plata 
Processing record 638 | punta arenas 
Processing record 639 | nome 
Processing record 640 | severo-kurilsk 
Processing record 641 | bethel 
Processing record 642 | alice springs 
Processing record 643 | utica 
Processing record 644 | jawor 
Processing record 645 | kavieng 
Processing record 646 | alyangula 
Processing record 647 | sorland 
Processing record 648 | albany 
Processing record 649 | belushya guba 
 Not found: belushya guba Skipping 
Processing record 650 | hermanus 
Processing record 651 | saskylakh 
Processing record 652 | lumberton 
Processing record 653 | cape town 
Processing record 654 | butaritari 
Processing record 655 | rikitea 
Processing record 656 | half moon bay 
Processing record 657 | port alfred 
Processing record 658 | salalah 
Processing record 659 | cape town 
Processing record 660 | ihosy 
Processing record 661 | galle 
Processing record 662 | geraldton 
Processing record 663 | nizhneyansk 
 Not found: nizhneyansk Skipping 
Processing record 664 | ardakan 
Processing record 665 | barrhead 
Processing record 666 | bredasdorp 
Processing record 667 | kahului 
Processing record 668 | mataura 
Processing record 669 | ancud 
Processing record 670 | ilulissat 
Processing record 671 | sur 
Processing record 672 | saint-francois 
Processing record 673 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 674 | albany 
Processing record 675 | punta arenas 
Processing record 676 | kavieng 
Processing record 677 | the valley 
Processing record 678 | barrow 
Processing record 679 | faanui 
Processing record 680 | tuatapere 
Processing record 681 | skelleftea 
Processing record 682 | port elizabeth 
Processing record 683 | rikitea 
Processing record 684 | puerto ayora 
Processing record 685 | chiradzulu 
Processing record 686 | quanzhou 
Processing record 687 | ostrovnoy 
Processing record 688 | wewak 
Processing record 689 | dolores 
Processing record 690 | ribeira grande 
Processing record 691 | atuona 
Processing record 692 | matane 
Processing record 693 | demyansk 
Processing record 694 | puerto ayora 
Processing record 695 | cape town 
Processing record 696 | port elizabeth 
Processing record 697 | albany 
Processing record 698 | khandagayty 
Processing record 699 | punta arenas 
Processing record 700 | kaitangata 
Processing record 701 | hualmay 
Processing record 702 | albany 
Processing record 703 | saleaula 
 Not found: saleaula Skipping 
Processing record 704 | rikitea 
Processing record 705 | bokspits 
 Not found: bokspits Skipping 
Processing record 706 | cape town 
Processing record 707 | narsaq 
Processing record 708 | eregli 
Processing record 709 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 710 | punta arenas 
Processing record 711 | sao filipe 
Processing record 712 | the pas 
Processing record 713 | jamestown 
Processing record 714 | busselton 
Processing record 715 | ponta do sol 
Processing record 716 | ushuaia 
Processing record 717 | samalaeulu 
 Not found: samalaeulu Skipping 
Processing record 718 | the valley 
Processing record 719 | kapaa 
Processing record 720 | vila franca do campo 
Processing record 721 | bluff 
Processing record 722 | khatanga 
Processing record 723 | chokurdakh 
Processing record 724 | mehamn 
Processing record 725 | saint-augustin 
Processing record 726 | bluff 
Processing record 727 | talnakh 
Processing record 728 | kodiak 
Processing record 729 | bolungarvik 
 Not found: bolungarvik Skipping 
Processing record 730 | mataura 
Processing record 731 | new norfolk 
Processing record 732 | portland 
Processing record 733 | chuy 
Processing record 734 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 735 | puerto varas 
Processing record 736 | calama 
Processing record 737 | sokoni 
Processing record 738 | aleksandrovskoye 
Processing record 739 | miramar 
Processing record 740 | victoria 
Processing record 741 | busselton 
Processing record 742 | rikitea 
Processing record 743 | port elizabeth 
Processing record 744 | talnakh 
Processing record 745 | morros 
Processing record 746 | coquimbo 
Processing record 747 | castro 
Processing record 748 | tuktoyaktuk 
Processing record 749 | maumere 
Processing record 750 | isangel 
Processing record 751 | atuona 
Processing record 752 | severo-kurilsk 
Processing record 753 | port lincoln 
Processing record 754 | pelym 
Processing record 755 | rikitea 
Processing record 756 | puerto ayora 
Processing record 757 | pevek 
Processing record 758 | georgetown 
Processing record 759 | hilo 
Processing record 760 | punta arenas 
Processing record 761 | brive-la-gaillarde 
Processing record 762 | arlit 
Processing record 763 | qaanaaq 
Processing record 764 | rikitea 
Processing record 765 | ushuaia 
Processing record 766 | port lincoln 
Processing record 767 | ponta do sol 
Processing record 768 | new norfolk 
Processing record 769 | arevashogh 
Processing record 770 | yellowknife 
Processing record 771 | zhuhai 
Processing record 772 | atambua 
Processing record 773 | venado tuerto 
Processing record 774 | ribeira grande 
Processing record 775 | chuy 
Processing record 776 | albany 
Processing record 777 | mar del plata 
Processing record 778 | grindavik 
Processing record 779 | illoqqortoormiut 
 Not found: illoqqortoormiut Skipping 
Processing record 780 | castro 
Processing record 781 | hilo 
Processing record 782 | clyde river 
Processing record 783 | lagoa 
Processing record 784 | port alfred 
Processing record 785 | hermanus 
Processing record 786 | kapaa 
Processing record 787 | tateyama 
Processing record 788 | carutapera 
Processing record 789 | hinton 
Processing record 790 | dikson 
Processing record 791 | hellvik 
Processing record 792 | barentsburg 
 Not found: barentsburg Skipping 
Processing record 793 | tuktoyaktuk 
Processing record 794 | ridgecrest 
Processing record 795 | san borja 
Processing record 796 | bilma 
Processing record 797 | ahipara 
Processing record 798 | ilulissat 
Processing record 799 | trofors 
Processing record 800 | jamestown 
Processing record 801 | hofn 
Processing record 802 | penzance 
Processing record 803 | hobart 
Processing record 804 | vaini 
Processing record 805 | obama 
Processing record 806 | avera 
Processing record 807 | gloversville 
Processing record 808 | carnarvon 
Processing record 809 | loudeac 
Processing record 810 | rikitea 
Processing record 811 | bredasdorp 
Processing record 812 | thompson 
Processing record 813 | hobart 
Processing record 814 | yellowknife 
Processing record 815 | butaritari 
Processing record 816 | lompoc 
Processing record 817 | rikitea 
Processing record 818 | atuona 
Processing record 819 | norman wells 
Processing record 820 | puerto ayora 
Processing record 821 | faya 
Processing record 822 | busselton 
Processing record 823 | xuddur 
Processing record 824 | nautla 
Processing record 825 | busselton 
Processing record 826 | quelimane 
Processing record 827 | ushuaia 
Processing record 828 | castro 
Processing record 829 | vaini 
Processing record 830 | taolanaro 
 Not found: taolanaro Skipping 
Processing record 831 | kaitangata 
Processing record 832 | qaanaaq 
Processing record 833 | chokurdakh 
Processing record 834 | tuktoyaktuk 
Processing record 835 | neuquen 
Processing record 836 | anloga 
Processing record 837 | butaritari 
Processing record 838 | ushuaia 
Processing record 839 | bengkulu 
Processing record 840 | katsuura 
Processing record 841 | mataura 
Processing record 842 | albany 
Processing record 843 | tiksi 
Processing record 844 | nome 
Processing record 845 | albany 
Processing record 846 | ushuaia 
Processing record 847 | busselton 
Processing record 848 | khorixas 
Processing record 849 | araouane 
Processing record 850 | half moon bay 
Processing record 851 | batemans bay 
Processing record 852 | mataura 
Processing record 853 | beira 
Processing record 854 | ribeira grande 
Processing record 855 | haibowan 
 Not found: haibowan Skipping 
Processing record 856 | barrow 
Processing record 857 | georgetown 
Processing record 858 | upernavik 
Processing record 859 | codrington 
Processing record 860 | ushuaia 
Processing record 861 | grand river south east 
 Not found: grand river south east Skipping 
Processing record 862 | rikitea 
Processing record 863 | cidreira 
Processing record 864 | poya 
Processing record 865 | hegang 
Processing record 866 | vostok 
Processing record 867 | rikitea 
Processing record 868 | huilong 
Processing record 869 | hilo 
Processing record 870 | puerto ayora 
Processing record 871 | rikitea 
Processing record 872 | umm durman 
 Not found: umm durman Skipping 
Processing record 873 | port elizabeth 
Processing record 874 | hilo 
Processing record 875 | alenquer 
Processing record 876 | atuona 
Processing record 877 | kingori 
Processing record 878 | vila velha 
Processing record 879 | butaritari 
Processing record 880 | jamestown 
Processing record 881 | faanui 
Processing record 882 | rikitea 
Processing record 883 | suzu 
 Not found: suzu Skipping 
Processing record 884 | belushya guba 
 Not found: belushya guba Skipping 
Processing record 885 | poum 
Processing record 886 | attawapiskat 
 Not found: attawapiskat Skipping 
Processing record 887 | mataura 
Processing record 888 | jamestown 
Processing record 889 | campbellton 
Processing record 890 | kahului 
Processing record 891 | rawson 
Processing record 892 | srednekolymsk 
Processing record 893 | saleaula 
 Not found: saleaula Skipping 
Processing record 894 | nizhneyansk 
 Not found: nizhneyansk Skipping 
Processing record 895 | nuuk 
Processing record 896 | kudahuvadhoo 
Processing record 897 | atuona 
Processing record 898 | khatanga 
Processing record 899 | hilo 
Processing record 900 | mogadishu 
Processing record 901 | trairi 
Processing record 902 | hilo 
Processing record 903 | fukue 
Processing record 904 | kruisfontein 
